240,5,6,8
480,6,8,10
720,8,9,10
960,8,10,12
1200,10,10,12
1440,10,12,12
1680,10,12,14
1920,10,12,16
2160,12,12,15
2400,10,15,16
2640,11,15,16
2880,12,15,16
3120,13,15,16
3360,14,15,16
3600,15,15,16
3840,15,16,16
4080,15,16,17
4320,15,16,18
4560,15,16,19
4800,15,16,20
5040,15,16,21
5280,15,16,22
5520,15,16,23
5760,16,18,20
6000,15,20,20
6240,15,16,26
6480,18,18,20
6720,16,20,21
6960,15,16,29
7200,18,20,20
7440,15,16,31
7680,16,20,24
7920,18,20,22
8160,17,20,24
8400,20,20,21
8640,18,20,24
8880,15,16,37
9120,19,20,24
9360,18,20,26
9600,20,20,24
9840,15,16,41
10080,20,21,24
11760,20,21,28
13440,20,24,28
15120,20,27,28
16800,24,25,28
20160,24,28,30
23520,28,28,30
26880,28,30,32
30240,28,30,36
33600,30,32,35
36960,32,33,35
40320,32,35,36
43680,32,35,39
47040,32,35,42
50400,35,36,40
