16,2,2,4
32,2,4,4
48,3,4,4
64,4,4,4
80,4,4,5
96,4,4,6
112,4,4,7
128,4,4,8
144,4,6,6
160,4,5,8
192,4,6,8
224,4,7,8
240,5,6,8
256,4,8,8
288,6,6,8
320,5,8,8
336,6,7,8
384,6,8,8
400,5,8,10
432,6,8,9
448,7,8,8
480,6,8,10
512,8,8,8
528,6,8,11
560,7,8,10
576,8,8,9
640,8,8,10
672,7,8,12
704,8,8,11
720,8,9,10
768,8,8,12
784,7,8,14
800,8,10,10
832,8,8,13
864,8,9,12
880,8,10,11
896,8,8,14
960,8,10,12
1008,7,12,12
1024,8,8,16
1040,8,10,13
1056,8,11,12
1120,8,10,14
1152,8,12,12
1200,10,10,12
1232,8,11,14
1248,8,12,13
1280,8,10,16
1296,9,12,12
1344,8,12,14
1408,8,11,16
1440,10,12,12
1456,8,13,14
1536,8,12,16
1568,8,14,14
1584,11,12,12
1600,10,10,16
1664,8,13,16
1680,10,12,14
1728,12,12,12
1760,10,11,16
1792,8,14,16
1872,12,12,13
1920,10,12,16
1936,11,11,16
2000,10,10,20
2016,12,12,14
2048,8,16,16
2080,10,13,16
2112,11,12,16
2160,12,12,15
2240,10,14,16
2288,11,13,16
2304,12,12,16
2352,12,14,14
2400,10,15,16
2448,12,12,17
2464,11,14,16
2496,12,13,16
2560,10,16,16
2592,12,12,18
2640,11,15,16
2688,12,14,16
2704,13,13,16
2720,10,16,17
2736,12,12,19
2800,10,14,20
2816,11,16,16
2880,12,15,16
2912,13,14,16
2992,11,16,17
3024,12,14,18
3040,10,16,19
3072,12,16,16
3120,13,15,16
3136,14,14,16
3168,11,16,18
3200,10,16,20
3264,12,16,17
3312,12,12,23
3328,13,16,16
3344,11,16,19
3360,14,15,16
3456,12,16,18
3520,11,16,20
3536,13,16,17
3584,14,16,16
3600,15,15,16
3648,12,16,19
3696,12,14,22
3744,13,16,18
3808,14,16,17
3840,15,16,16
3872,11,16,22
3888,12,18,18
3920,14,14,20
3952,13,16,19
4000,10,20,20
4032,14,16,18
4080,15,16,17
4096,16,16,16
4160,13,16,20
4224,12,16,22
4256,14,16,19
4320,15,16,18
4352,16,16,17
4368,13,16,21
4400,11,20,20
4416,12,16,23
4480,14,16,20
4560,15,16,19
4576,13,16,22
4608,16,16,18
4624,16,17,17
4704,14,16,21
4752,12,18,22
4784,13,16,23
4800,15,16,20
4864,16,16,19
4896,16,17,18
4928,14,16,22
4992,13,16,24
5040,15,16,21
5120,16,16,20
5152,14,16,23
5168,16,17,19
5184,16,18,18
5200,13,20,20
5280,15,16,22
5376,16,16,21
5408,13,16,26
5440,16,17,20
5472,16,18,19
5488,14,14,28
5520,15,16,23
5600,14,20,20
5616,13,18,24
5632,16,16,22
5712,16,17,21
5760,16,18,20
5776,16,19,19
5808,12,22,22
5824,14,16,26
5888,16,16,23
5984,16,17,22
6000,15,20,20
6048,16,18,21
6080,16,19,20
6144,16,16,24
6160,14,20,22
6240,15,16,26
6256,16,17,23
6272,14,16,28
6336,16,18,22
6384,16,19,21
6400,16,20,20
6480,18,18,20
6528,16,17,24
6624,16,18,23
6656,16,16,26
6688,16,19,22
6720,16,20,21
6800,17,20,20
6864,13,22,24
